image_id,storm_id,relative_time,ocean,wind_speed
image_0,dxx,27000,2,39
image_1,wsy,334800,1,132
image_2,vkb,486001,2,38
image_3,whs,16201,2,35
image_4,ggv,702000,2,95
image_5,ijc,595799,1,40
image_6,wtz,316801,1,135
image_7,upx,45002,1,37
image_8,ywf,124199,1,45
image_9,fzw,388798,2,95
image_10,dwc,572398,1,45
image_11,hht,223201,1,55
image_12,ojv,608400,1,25
image_13,oxm,102600,1,25
image_14,ztb,271800,1,60
image_15,dnd,75599,2,102
image_16,fvj,28798,1,30
image_17,kqf,81000,2,40
image_18,phw,10800,1,30
image_19,ijc,536400,1,50
image_20,ojw,280799,1,92
image_21,wbb,50399,1,30
image_22,ydl,288002,1,30
image_23,meg,365400,2,116
image_24,ptk,140399,1,48
image_25,gio,36000,1,30
image_26,xjo,16199,1,25
image_27,rml,342000,2,40
image_28,aja,226800,1,27
image_29,qxu,367199,2,50
image_30,gkf,500400,2,50
image_31,pug,250200,1,72
image_32,qzd,45000,1,55
image_33,jkh,97200,2,48
image_34,gme,338400,1,40
image_35,xog,277201,1,95
image_36,hoo,325800,2,20
image_37,xtd,698400,1,30
image_38,tkb,23400,1,25
image_39,ryg,169200,2,64
image_40,tgs,224998,1,37
image_41,unp,165601,1,30
image_42,phw,32402,1,31
image_43,qpq,554399,1,91
image_44,wlz,165600,2,50
image_45,hld,118798,1,28
image_46,orj,99000,2,30
image_47,xgr,28802,1,152
image_48,vib,88200,2,40
image_49,ztb,34202,1,45
image_50,cph,64800,2,50
image_51,tlc,221401,1,25
image_52,ise,190798,1,35
image_53,oac,108000,1,90
image_54,qpq,417601,1,57
image_55,afs,23397,2,41
image_56,ztb,133202,1,55
image_57,sxb,935999,2,55
image_58,kqf,43199,2,45
image_59,ydl,518401,1,45
image_60,sxb,565199,2,66
image_61,ijc,547199,1,48
image_62,dwc,552599,1,45
image_63,vsc,72000,1,45
image_64,vye,860401,1,25
image_65,yab,489599,2,36
image_66,iiz,428400,1,115
image_67,wic,241199,1,24
image_68,ipa,737999,1,49
image_69,vlo,260999,1,25
image_70,sxb,133199,2,50
image_71,qvf,190801,1,30
image_72,qxu,185400,2,48
image_73,aek,100800,1,35
image_74,xhj,25198,1,27
image_75,pts,64800,2,45
image_76,fpc,255600,2,57
image_77,sta,230399,1,60
image_78,xjj,88200,1,47
image_79,eoi,577801,1,117
image_80,mca,19799,1,30
image_81,npf,75599,1,30
image_82,fkt,81000,2,50
image_83,oac,18000,1,70
image_84,pvj,671401,1,30
image_85,amn,469800,2,46
image_86,alc,14400,2,93
image_87,ing,522002,1,70
image_88,dzw,412199,1,102
image_89,ise,449998,1,83
image_90,dwc,518400,1,45
image_91,frh,61200,1,25
image_92,fpa,390601,1,39
image_93,oxm,16198,1,25
image_94,upx,388802,1,77
image_95,cna,154800,2,50
image_96,tgs,219599,1,39
image_97,woc,140399,1,60
image_98,vkb,392403,2,34
image_99,xrh,414000,2,25
image_100,mwx,36000,2,84
image_101,cpf,10799,2,30
